The num.58 descpters is : ,1217.28,963.85,985.094,954.166,1218.22,965.106,1000.75,972.052,1192.95,1282.15,1011.46,997.567,1215.22,1064.24,984.656,1223.8,1410.56,1035.5,1756.74
The num.59 descpters is : ,116.172,83.6284,102.045,92.928,113.946,88.4946,103.108,98.2935,106.85,121.759,98.6293,98.6404,117.179,106.697,97.3591,120.952,153.846,105.893,199.54
The num.60 descpters is : ,1473.05,1031.03,1036.37,1056.45,1293.11,1119.8,1000.8,993.271,1489.51,1251.1,1103.51,944.736,1455.89,1029.86,1071.64,1296.58,1338.97,961.873,1491
The num.61 descpters is : ,26.1835,19.4351,22.1008,18.5119,26.306,21.208,21.8125,20.8101,25.3829,25.347,22.328,18.5486,27.9498,21.1281,19.5658,25.2694,29.9716,20.3299,27.983
The num.62 descpters is : ,973.112,778.725,751.381,812.367,879.608,815.244,733.154,754.84,1001.45,1060.58,753.628,723.257,920.398,794.038,796.151,950.745,1020.95,822.938,1272.58
The num.63 descpters is : ,52.0098,39.0731,42.6071,38.5348,48.6641,40.4222,41.7468,42.049,49.5663,50.2355,42.7855,40.2819,52.3299,40.8137,41.2957,50.0232,53.7348,42.5945,64.612
The num.64 descpters is : ,1401.78,1082.83,1024.07,1251.98,1327.72,1116.08,1130.32,1047.88,1475.54,1430.96,1122.85,1142.87,1302.21,1159.02,1162.4,1418.79,1499.3,1195.82,1840.44
The num.65 descpters is : ,1033.32,830.529,794.277,815.692,983.244,819.174,787.711,829.421,1005.7,1070.59,826.602,836.324,993.869,836.324,814.226,1016.11,1058.99,853.864,1268
The num.66 descpters is : ,53.8506,43.8083,42.1945,47.278,46.3889,48.6417,40.237,46.1723,48.9736,56.9429,45.6897,46.4785,49.4094,47.1277,52.3347,48.9901,52.0204,53.5854,77.7076
The num.67 descpters is : ,24.9707,19.1802,19.0174,21.2196,23.2551,20.3223,18.7198,21.0047,23.5313,25.5448,19.9458,20.8834,23.1549,20.5709,22.0349,22.896,25.1507,23.0787,37.3736
The num.68 descpters is : ,23.8099,20.8568,24.1218,24.1657,30.9219,18.1944,24.8654,24.2988,29.8316,24.98,20.9855,24.7314,31.4352,20.5951,20.8297,31.7593,30.937,21.5874,42.2896
The num.69 descpters is : ,15.9119,15.9472,12.5402,15.4055,17.8864,13.1902,14.1374,14.6333,16.9429,19.0927,12.0056,16.4223,16.9544,13.1527,14.9642,18.7239,17.5158,16.1703,24.1714
The num.70 descpters is : ,39.1419,32.5633,31.0442,32.8058,35.33,33.5911,33.3362,32.5831,35.1142,42.3418,34.4394,34.5819,35.2467,38.4534,35.2382,36.9364,49.5485,37.6071,62.9899
The num.71 descpters is : ,1155.79,978.607,799.243,1030.2,942.346,986.807,792.897,962.859,1147.09,1376.16,821.749,940.065,1099.84,839.755,952.273,1096.74,1007.91,1050.09,1523.27
The num.72 descpters is : ,810.542,696.683,492.572,604.644,745.825,706.34,580.932,594.787,675.261,913.437,552.325,699.376,641.937,562.4,672.906,757.381,675.188,713.495,816.485
The num.73 descpters is : ,8781.44,7089.04,6702.39,6581.61,9159.34,7092.74,7195.44,6747.01,8201.74,8751.52,6876.61,7272.62,8759.41,6883.21,6937.12,9370.04,8810.24,7087.48,9266.71
The num.74 descpters is : ,1.14937e+06,841316,905590,1.01703e+06,1.162e+06,980659,896691,930886,1.17006e+06,1.20766e+06,934300,925926,1.07832e+06,957812,1.01835e+06,1.00037e+06,1.18034e+06,1.07283e+06,1.81184e+06
The num.75 descpters is : ,20.3399,15.7933,16.3858,15.7087,19.5683,16.616,15.8221,16.9372,18.2206,21.6578,16.6309,16.1925,20.1569,17.2161,17.2238,19.2127,20.4285,18.0611,25.4296
The num.76 descpters is : ,19.4456,15.1756,13.2009,11.6754,18.0785,17.4142,11.3394,14.7223,16.0834,20.3925,13.6833,12.7095,19.5723,13.5503,13.2654,18.1437,16.3538,14.2174,17.3601
The num.77 descpters is : ,24399.8,20608.5,19790.4,18493.9,33038.7,21043.9,24284.6,16903.1,26713.4,27397.2,21406.2,17976.2,24276.5,21581.6,17797.1,27334,29441.5,16156.8,23818.2
The num.78 descpters is : ,30.1434,19.5394,24.6118,23.1199,30.4982,22.0116,23.0977,23.1868,31.8574,25.8147,24.5897,22.3934,31.9221,22.0434,22.5563,28.6943,31.3161,21.0636,30.1046
The num.79 descpters is : ,84.2708,69.2498,73.4359,72.5872,83.4199,68.6329,72.4508,74.4658,85.9842,87.756,73.3137,72.4892,85.3612,76.3655,73.9155,85.2651,93.6541,79.7126,130.313
The num.80 descpters is : ,325836,153442,194747,229557,256506,181364,214372,220082,239177,184812,261796,233791,250872,182800,253374,248298,281104,172492,364835
The num.81 descpters is : ,25.4009,21.1267,21.4752,22.9859,24.2863,19.4057,23.6988,24.0894,25.9929,24.027,22.263,24.5827,26.8043,20.1121,21.1331,28.3977,29.8898,20.8787,33.2659
The num.82 descpters is : ,172.196,156.107,140.699,160.374,202.518,144.77,150.649,155.561,200.693,209.824,140.785,162.542,195.312,153.335,144.872,210.904,194.54,164.377,254.292
The num.83 descpters is : ,6803.26,5272.6,5340.1,5087.71,6423.16,5414.34,5707.73,5067.56,6050.13,6867.74,5948.37,5435.16,6142.66,5813.48,5604.66,6519.61,8052.74,5630.66,9408.74
